"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-","3PTM","FTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","2DO","3D"
"*04xgj*","Kendrick Nunn","(N/A)","G,Flx","1270","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*051pl*","Eric Paschall","(N/A)","F,Flx","1314","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03r86*","SirDominic Pointer","(N/A)","F,Flx","1343","FA","33","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*031lq*","Otto Porter","(N/A)","F,Flx","1350","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*051pp*","Isaiah Roby","(N/A)","F,Flx","1402","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06pvt*","Cormac Ryan","(N/A)","G,Flx","1408","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05wqq*","Javonte Smart","(N/A)","G,Flx","1456","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06hsl*","Malachi Smith","(N/A)","G,Flx","1459","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04qrt*","Zhaire Smith","(N/A)","G,Flx","1463","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*031m7*","Tony Snell","(N/A)","G,Flx","1465","FA","33","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03e6l*","Nik Stauskas","(N/A)","G,Flx","1477","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05wkc*","Ethan Thompson","(N/A)","G,Flx","1522","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*059q7*","Juan Toscano-Anderson","(N/A)","F,Flx","1542","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*059qe*","Rayjon Tucker","(N/A)","G,Flx","1555","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06hi8*","Vincent Valerio-Bodon","(N/A)","F,Flx","1563","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06fk6*","Jordan Walker","(N/A)","G,Flx","1576","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03bxn*","T.J. Warren","(N/A)","F,Flx","1585","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06rur*","Phillip Wheeler","(N/A)","F,Flx","1604","FA","23","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*065px*","Trevion Williams","(N/A)","F,C,Flx","1634","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03nwi*","Justise Winslow","(N/A)","F,Flx","1643","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*072ah*","Jaden Akins","(N/A)","G,Flx","409","FA","0","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0440z*","Ondrej Balvin","(N/A)","C,Flx","461","FA","33","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04xhp*","Jaylen Barford","(N/A)","G,Flx","466","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0725e*","Daniel Batcho","(N/A)","F,Flx","471","FA","23","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04exj*","Jabari Bird","(N/A)","G,Flx","509","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0666f*","Eli Brooks","(N/A)","G,Flx","552","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0729e*","Darius Brown","(N/A)","G,Flx","562","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04xhq*","Joe Chealey","(N/A)","G,Flx","615","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0554x*","Zylan Cheatham","(N/A)","F,Flx","616","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03h91*","Will Cherry","(N/A)","G,Flx","617","FA","34","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05qzi*","Yoeli Childs","(N/A)","F,Flx","618","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04xgm*","Chris Chiozza","(N/A)","G,Flx","619","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*042n5*","Marquese Chriss","(N/A)","F,Flx","621","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03r7q*","Rakeem Christmas","(N/A)","F,Flx","622","FA","33","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04ug6*","Gary Clark","(N/A)","F,Flx","626","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*033h9*","Ian Clark","(N/A)","G,Flx","627","FA","34","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06hsm*","Kihei Clark","(N/A)","G,Flx","628","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04hot*","Gian Clavell","(N/A)","G,Flx","631","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0570u*","Chris Clemons","(N/A)","G,Flx","632","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04laz*","Antonius Cleveland","(N/A)","G,Flx","633","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05xac*","Matt Coleman","(N/A)","G,Flx","635","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*044ia*","Kyle Collinsworth","(N/A)","G,Flx","639","FA","34","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04xhu*","Bonzie Colson","(N/A)","F,Flx","640","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06aw1*","Chance Comanche","(N/A)","C,Flx","641","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06giy*","George Conditt","(N/A)","F,Flx","642","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0484m*","Elgin Cook","(N/A)","F,Flx","643","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05qzl*","Keandre Cook","(N/A)","G,Flx","644","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03xh1*","Quinn Cook","(N/A)","G,Flx","645","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*057ot*","Tyler Cook","(N/A)","F,Flx","646","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*048zr*","Derek Cooke Jr.","(N/A)","F,Flx","647","FA","34","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03j8m*","Jack Cooley","(N/A)","F,C,Flx","651","FA","34","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*042oc*","Petr Cornelie","(N/A)","F,Flx","652","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04838*","Matt Costello","(N/A)","F,Flx","653","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03i9w*","Bryce Cotton","(N/A)","G,Flx","654","FA","33","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
